Regió,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Montsià,69908,68523,68313,67558,67260,67509,67510,67969,69066,70457,71158,71333,71345,71045,69807,66411,63860,62014,59954,59107,58003,56629,55347,55130,54797,54777,54775,54665,54558,54565,54513,54342,54215,54140,54069,54032,54065,53886,53680,53521,53217,52931
Noguera,38802,39143,39015,38611,38544,38581,38692,38838,39075,39557,39861,39912,39721,39626,38871,37935,37414,36835,35766,35204,34849,34595,34520,34395,34296,34312,34416,34568,34616,34710,34833,34887,35052,35319,35498,35692,35902,35960,36023,36053,36041,36068
Osona,163667,163867,162906,159819,157517,155550,154089,153396,152873,153724,154042,153779,152917,151710,149410,146459,143622,140167,136613,133168,130096,127768,125892,124741,123993,123438,122536,121549,120570,119713,118639,117826,117375,116827,116316,115746,115259,115180,115183,115154,114951,114761
Pallars Jussà,13137,13112,13147,13006,13006,13136,13232,13411,13236,13511,14008,14243,13780,13680,13404,13037,12540,12652,12717,12419,12157,12100,12291,12504,12585,12672,12796,12793,12772,12793,12822,12912,13070,13270,13562,13691,13843,13916,13982,14054,14137,14226
Pallars Sobirà,7190,7116,6913,6908,6919,6901,6920,7000,7159,7280,7347,7448,7537,7511,7375,7178,7040,6879,6678,6408,6285,6089,6014,5943,5853,5830,5775,5627,5566,5524,5493,5430,5409,5447,5477,5470,5460,5445,5457,5450,5459,5455
Pla d'Urgell,37751,37200,36979,36788,36750,36688,36625,36573,36544,36844,37002,36983,37008,36607,35586,34669,33487,32557,31321,30562,29986,29458,29267,29153,29083,29137,29110,29045,29024,28918,28811,28864,28871,28814,28693,28706,28682,28707,28735,28782,28778,28791
Pla de l'Estany,32744,32817,32529,32189,31905,31636,31433,31329,31331,31453,31257,31089,30517,29988,29344,28517,27876,27215,26502,25958,25369,24828,24472,24385,24137,23933,23768,23634,23409,23178,23019,22798,22501,22216,21929,21637,21447,21377,21263,21097,20951,20791
Priorat,9235,9283,9178,9215,9258,9309,9328,9493,9523,9710,9891,9973,9989,9921,9771,9684,9641,9516,9443,9273,9253,9170,9130,9151,9184,9192,9229,9294,9308,9344,9440,9519,9577,9714,9865,9989,10066,10144,10244,10316,10378,10432
Ribera d'Ebre,21635,21899,21864,21768,21876,21993,22182,22464,22662,22990,23307,23385,23612,23555,23294,22723,22310,22214,21994,21999,21910,21802,21804,22085,22232,22382,22471,22585,22759,22822,22906,23124,23279,23390,23520,23635,23674,23912,24195,24478,24723,24971
Ripollès,25445,25448,25160,24997,24945,24946,25049,25278,25618,25945,26178,26360,26524,26757,26772,26514,26305,26274,26125,26022,26007,25706,25786,25969,26213,26224,26488,26649,26786,26918,27125,27289,27525,27709,27996,28216,28345,28574,28831,29115,29360,29596
Segarra,23209,23455,23211,22970,22728,22614,22538,22611,22734,23010,23200,23181,22911,22844,22249,21612,21303,20906,20108,19553,18803,17974,17746,17617,17489,17355,17388,17263,17293,17151,17107,17080,16960,17016,17121,17115,17104,17168,17221,17305,17354,17401
Segrià,209149,210703,210822,207954,206108,205918,205708,205944,205889,207018,206914,206245,204066,201611,196693,190082,184611,180015,173787,170001,167296,164411,163922,163530,163501,163547,163724,163818,163997,163836,163295,162998,162135,161223,160426,159429,158685,158744,158582,158249,157710,157163
La Selva,173947,175335,173684,170734,168243,167398,166970,166959,168736,169705,170430,169840,168136,165701,160412,153213,144678,136970,129234,123659,118455,113958,111163,108958,106882,105432,104485,103042,101710,100530,99447,98395,96990,95174,93769,92178,91175,89394,87727,86010,84177,82506
Solsonès,13942,13648,13525,13457,13369,13327,13296,13345,13415,13556,13651,13788,13760,13852,13849,13467,13078,12778,12352,12018,11719,11368,11265,11209,11202,11153,11167,11096,11020,11000,10897,10864,10768,10779,10815,10810,10797,10851,10885,10911,10898,10907
Tarragonès,264094,262868,261170,256347,252682,250057,249129,249059,248781,249090,249602,248351,246756,244122,237019,226879,215934,205244,195862,190017,183934,179044,174640,172923,171060,169415,168602,166653,164785,162984,160858,158968,156600,154805,152691,150507,148925,149444,149588,149647,149393,149091
Terra Alta,11294,11405,11351,11425,11447,11576,11655,11776,12022,12313,12511,12650,12741,12787,12750,12617,12619,12670,12520,12403,12329,12175,12168,12294,12439,12520,12632,12720,12775,12873,12885,12978,13081,13196,13323,13387,13467,13538,13578,13642,13702,13749
Urgell,37366,37239,36986,36485,36058,35891,35836,36042,36189,36581,36697,37193,37025,36635,36039,35054,34174,33527,32669,31964,31348,30550,30429,30274,30245,30206,30151,30034,29968,29913,29821,29893,29856,29901,29950,29965,29972,29980,29949,29924,29893,29876
Vallès Occidental,940969,937386,935249,923182,914832,907459,900061,894838,892809,894515,894813,889924,882324,872754,856345,839058,821141,802406,782215,763233,744457,727525,715647,706523,697220,688605,682435,675265,669080,663018,655954,650454,644264,638226,632245,625681,620211,615563,611101,606883,602033,597091
